"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"98103","WA","Seattle-Tacoma-Bellevue","King County","Seattle",194,2118.63,-0.0102,0.0071,0.0059,19566
2019-10-31,"77450","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Cinco Ranch",195,1618.49,0.0168,0.0297,0.0465,21747
2019-10-31,"95747","CA","Sacramento--Roseville--Arden-Arcade","Placer County","Roseville",196,2128.18,-0.0027,0.0151,0.0347,26017
2019-10-31,"89121","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",197,1331.38,0.0103,0.0201,0.0393,18772
2019-10-31,"27406","NC","Greensboro-High Point","Guilford County","Greensboro",198,824.41,0.019,0.0204,0.0119,19823
2019-10-31,"92804","CA","Los Angeles-Long Beach-Anaheim","Orange County","Anaheim",199,2405.89,0.0068,0.0073,0.0308,15033
2019-10-31,"08753","NJ","New York-Newark-Jersey City","Ocean County","Toms River",200,1848.35,0.0001,0.0086,-0.0138,25179
2019-10-31,"75228","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",201,1208.94,-0.0056,-0.0026,0.0009,16754
2019-10-31,"92126","CA","San Diego-Carlsbad","San Diego County","San Diego",202,2493.71,0.0071,0.0115,0.0255,22869
2019-10-31,"10028","NY","New York-Newark-Jersey City","New York County","New York",203,4249.49,0.011,-0.0042,0.1112,22463
2019-10-31,"60634","IL","Chicago-Naperville-Elgin","Cook County","Chicago",204,1639.28,-0.0141,-0.0035,0.0183,21455
2019-10-31,"20011","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",205,2088.99,-0.0001,0.0066,0.0343,18992
2019-10-31,"43130","OH","Columbus","Fairfield County","Lancaster",206,1075.38,-0.0286,-0.0169,0.0782,20339
2019-10-31,"76244","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",207,1514.82,0.0302,0.0312,0.0568,24682
2019-10-31,"92503","CA","Riverside-San Bernardino-Ontario","Riverside County","Riverside",208,2059.28,0.0121,0.0217,0.0576,21548
2019-10-31,"91911","CA","San Diego-Carlsbad","San Diego County","Chula Vista",209,2339.95,0.0098,0.023,0.0554,16459
